directorship_id,person_id,cin,appointment_date
DIR00085,PER00416,CIN00025,2023-10-03
DIR00086,PER00016,CIN00026,2025-04-29
DIR00087,PER00827,CIN00026,2025-06-10
DIR00088,PER00069,CIN00027,2024-01-02
DIR00089,PER00900,CIN00027,2025-01-09
DIR00090,PER00813,CIN00028,2022-08-20
DIR00091,PER00682,CIN00028,2023-12-19
DIR00092,PER00383,CIN00028,2024-07-16
DIR00093,PER00093,CIN00029,2025-04-07
DIR00094,PER00167,CIN00029,2021-12-20
DIR00095,PER00571,CIN00029,2025-08-10
DIR00096,PER00153,CIN00029,2022-03-12
DIR00097,PER00236,CIN00030,2022-10-08
DIR00098,PER00140,CIN00030,2024-05-28
DIR00099,PER00022,CIN00030,2022-09-30
DIR00100,PER00183,CIN00030,2022-09-20
DIR00101,PER00820,CIN00031,2022-06-20
DIR00102,PER00833,CIN00031,2022-03-06
DIR00103,PER00153,CIN00031,2023-10-02
DIR00104,PER00448,CIN00031,2025-01-19
DIR00105,PER00254,CIN00031,2021-11-28
DIR00106,PER00019,CIN00032,2024-01-23
DIR00107,PER00928,CIN00032,2025-05-12
DIR00108,PER00216,CIN00032,2021-12-12
DIR00109,PER00169,CIN00032,2023-11-13
DIR00110,PER00413,CIN00033,2021-03-26
DIR00111,PER00461,CIN00033,2025-01-12
DIR00112,PER00913,CIN00033,2021-08-17
DIR00113,PER00571,CIN00034,2025-05-03
DIR00114,PER00368,CIN00034,2024-12-19
DIR00115,PER00697,CIN00034,2020-09-26
DIR00116,PER00688,CIN00035,2021-10-22
DIR00117,PER00549,CIN00035,2025-08-19
DIR00118,PER00131,CIN00035,2022-06-24
DIR00119,PER00539,CIN00036,2020-10-16
DIR00120,PER00827,CIN00036,2022-10-03
DIR00121,PER00667,CIN00036,2022-08-31
DIR00122,PER00019,CIN00036,2025-05-13
DIR00123,PER00928,CIN00036,2023-11-11
DIR00124,PER00320,CIN00037,2023-01-06
DIR00125,PER00424,CIN00037,2025-03-08
DIR00126,PER00648,CIN00037,2021-02-24
DIR00127,PER00980,CIN00037,2024-09-10
DIR00128,PER00623,CIN00037,2024-08-14
DIR00129,PER00322,CIN00038,2024-03-04
DIR00130,PER00623,CIN00038,2024-04-16
DIR00131,PER00236,CIN00038,2025-05-12
DIR00132,PER00693,CIN00039,2023-11-17
DIR00133,PER00224,CIN00039,2021-01-10
DIR00134,PER00057,CIN00039,2023-03-12
DIR00135,PER00334,CIN00040,2024-09-18
DIR00136,PER00096,CIN00040,2024-08-15
DIR00137,PER00412,CIN00040,2023-09-29
DIR00138,PER00146,CIN00040,2021-03-30
DIR00139,PER00681,CIN00040,2020-10-26
DIR00140,PER00146,CIN00041,2022-09-06
DIR00141,PER00051,CIN00041,2025-02-15
DIR00142,PER00816,CIN00042,2021-05-15
DIR00143,PER00748,CIN00042,2025-07-10
DIR00144,PER00151,CIN00042,2024-03-20
DIR00145,PER00478,CIN00042,2024-01-30
DIR00146,PER00911,CIN00043,2021-08-30
DIR00147,PER00576,CIN00043,2022-03-13
DIR00148,PER00174,CIN00043,2023-11-22
DIR00149,PER00244,CIN00044,2024-12-16
DIR00150,PER00355,CIN00044,2021-01-19
DIR00151,PER00401,CIN00045,2021-09-10
DIR00152,PER00670,CIN00045,2024-01-14
DIR00153,PER00244,CIN00045,2025-06-17
DIR00154,PER00811,CIN00045,2021-12-21
DIR00155,PER00738,CIN00045,2021-09-23
DIR00156,PER00635,CIN00046,2022-01-26
DIR00157,PER00539,CIN00046,2022-09-26
DIR00158,PER00181,CIN00046,2023-12-02
DIR00159,PER00719,CIN00046,2020-11-10
DIR00160,PER00148,CIN00046,2022-12-01
DIR00161,PER00110,CIN00047,2021-04-19
DIR00162,PER00411,CIN00047,2022-10-03
DIR00163,PER00115,CIN00047,2023-04-21
DIR00164,PER00096,CIN00048,2023-02-17
DIR00165,PER00593,CIN00048,2023-09-08
DIR00166,PER00708,CIN00048,2022-10-20
DIR00167,PER00246,CIN00048,2022-12-03
DIR00168,PER00293,CIN00048,2024-09-22
DIR00169,PER00186,CIN00049,2021-05-10
DIR00170,PER00224,CIN00049,2022-01-26
DIR00171,PER00299,CIN00049,2022-06-10
DIR00172,PER00860,CIN00049,2021-02-02
DIR00173,PER00793,CIN00050,2025-02-19
DIR00174,PER00448,CIN00050,2023-06-03
DIR00175,PER00561,CIN00050,2023-06-20
DIR00176,PER00434,CIN00050,2023-08-12
DIR00177,PER00669,CIN00050,2023-05-30
DIR00178,PER00125,CIN00051,2024-10-27
DIR00179,PER00716,CIN00051,2025-08-24
DIR00180,PER00224,CIN00051,2025-06-08
DIR00181,PER00756,CIN00051,2021-08-31
DIR00182,PER00472,CIN00051,2021-12-24
DIR00183,PER00186,CIN00052,2025-06-23
DIR00184,PER00185,CIN00052,2023-05-10
DIR00185,PER00368,CIN00052,2021-10-02
DIR00186,PER00435,CIN00053,2020-12-30
DIR00187,PER00968,CIN00053,2022-11-23
DIR00188,PER00909,CIN00053,2023-06-17
DIR00189,PER00944,CIN00053,2025-08-01
DIR00190,PER00497,CIN00054,2022-04-16
DIR00191,PER00544,CIN00054,2024-05-01
DIR00192,PER00561,CIN00054,2021-11-30
DIR00193,PER00704,CIN00055,2021-11-17
DIR00194,PER00075,CIN00055,2023-07-29
DIR00195,PER00275,CIN00055,2022-08-22
DIR00196,PER00195,CIN00056,2022-09-13
DIR00197,PER00245,CIN00056,2021-03-18
DIR00198,PER00319,CIN00056,2022-12-29
DIR00199,PER00539,CIN00057,2023-12-17
DIR00200,PER00892,CIN00057,2021-10-16
DIR00201,PER00360,CIN00057,2021-12-31
DIR00202,PER00267,CIN00057,2022-07-16
DIR00203,PER00356,CIN00057,2023-03-05
DIR00204,PER00668,CIN00058,2024-12-01
DIR00205,PER00146,CIN00058,2024-02-23
DIR00206,PER00764,CIN00059,2023-08-16
DIR00207,PER00784,CIN00059,2020-11-29
DIR00208,PER00431,CIN00059,2021-04-08
DIR00209,PER00290,CIN00059,2022-01-15
DIR00210,PER00562,CIN00060,2021-12-20
DIR00211,PER00551,CIN00060,2021-05-30
DIR00212,PER00140,CIN00060,2023-09-25
DIR00213,PER00875,CIN00060,2021-07-30
DIR00214,PER00320,CIN00061,2021-05-02
DIR00215,PER00521,CIN00061,2020-09-22
DIR00216,PER00383,CIN00061,2021-04-11
DIR00217,PER00583,CIN00062,2024-10-07
DIR00218,PER00434,CIN00062,2021-05-19
DIR00219,PER00919,CIN00063,2025-05-30
DIR00220,PER00775,CIN00063,2023-09-29
DIR00221,PER00521,CIN00063,2021-07-06
DIR00222,PER00913,CIN00064,2022-10-05
DIR00223,PER00421,CIN00064,2024-12-30
DIR00224,PER00381,CIN00065,2021-08-13
DIR00225,PER00813,CIN00065,2022-04-10
DIR00226,PER00565,CIN00065,2021-11-04
DIR00227,PER00192,CIN00065,2021-05-30
DIR00228,PER00384,CIN00065,2024-12-17
DIR00229,PER00659,CIN00066,2022-05-13
DIR00230,PER00487,CIN00066,2022-09-18
DIR00231,PER00443,CIN00066,2023-11-23
DIR00232,PER00034,CIN00067,2022-07-04
DIR00233,PER00466,CIN00067,2025-03-23
DIR00234,PER00700,CIN00068,2024-04-16
DIR00235,PER00089,CIN00068,2021-08-28
DIR00236,PER00995,CIN00068,2021-03-19
DIR00237,PER00256,CIN00068,2024-05-03
DIR00238,PER00355,CIN00069,2024-04-12
DIR00239,PER00012,CIN00069,2021-05-28
DIR00240,PER00626,CIN00069,2024-01-12
DIR00241,PER00322,CIN00069,2021-10-29
DIR00242,PER00587,CIN00069,2023-11-20
DIR00243,PER00311,CIN00070,2022-10-30
DIR00244,PER00020,CIN00070,2023-07-04
DIR00245,PER00119,CIN00070,2022-09-04
DIR00246,PER00804,CIN00071,2024-05-12
DIR00247,PER00525,CIN00071,2024-02-07
DIR00248,PER00995,CIN00071,2022-08-01
DIR00249,PER00288,CIN00072,2021-12-09
DIR00250,PER00430,CIN00072,2022-04-03
DIR00251,PER00424,CIN00072,2024-06-02
DIR00252,PER00787,CIN00073,2025-06-19
DIR00253,PER00708,CIN00073,2022-07-24
DIR00254,PER00952,CIN00074,2021-03-29
DIR00255,PER00258,CIN00074,2023-11-01
DIR00256,PER00520,CIN00074,2023-06-06
DIR00257,PER00384,CIN00075,2021-04-16
DIR00258,PER00979,CIN00075,2024-04-12
DIR00259,PER00521,CIN00075,2023-03-22
DIR00260,PER00157,CIN00075,2022-05-25
DIR00261,PER00859,CIN00076,2024-01-04
DIR00262,PER00968,CIN00076,2025-01-13
DIR00263,PER00858,CIN00076,2022-07-24
DIR00264,PER00753,CIN00076,2020-12-19
DIR00265,PER00784,CIN00077,2021-08-23
DIR00266,PER00648,CIN00077,2024-06-22
DIR00267,PER00635,CIN00077,2021-08-08
DIR00268,PER00399,CIN00077,2023-12-19
DIR00269,PER00704,CIN00078,2023-02-14
DIR00270,PER00125,CIN00078,2022-10-12
DIR00271,PER00541,CIN00078,2023-07-23
DIR00272,PER00719,CIN00079,2022-01-18
DIR00273,PER00687,CIN00079,2021-07-19
DIR00274,PER00567,CIN00079,2021-11-22
DIR00275,PER00132,CIN00079,2025-08-24
DIR00276,PER00954,CIN00080,2022-05-15
DIR00277,PER00847,CIN00080,2024-05-11
DIR00278,PER00873,CIN00080,2024-04-01
DIR00279,PER00134,CIN00080,2024-05-29
DIR00280,PER00378,CIN00081,2021-06-29
DIR00281,PER00136,CIN00081,2025-07-30
DIR00282,PER00715,CIN00081,2022-06-26
DIR00283,PER00183,CIN00081,2025-07-30
DIR00284,PER00861,CIN00082,2023-05-06
DIR00285,PER00928,CIN00082,2021-10-29
DIR00286,PER00734,CIN00082,2020-12-09
DIR00287,PER00788,CIN00082,2024-08-26
DIR00288,PER00375,CIN00082,2021-01-07
DIR00289,PER00787,CIN00083,2024-08-07
DIR00290,PER00134,CIN00083,2022-06-28
DIR00291,PER00807,CIN00083,2021-10-02
DIR00292,PER00875,CIN00083,2025-03-21
DIR00293,PER00357,CIN00084,2022-10-19
DIR00294,PER00064,CIN00084,2022-01-14
DIR00295,PER00390,CIN00084,2022-01-17
DIR00296,PER00028,CIN00084,2024-06-05
DIR00297,PER00320,CIN00085,2024-07-11
DIR00298,PER00153,CIN00085,2022-01-01
DIR00299,PER00982,CIN00085,2022-05-28
DIR00300,PER00124,CIN00086,2022-04-01
DIR00301,PER00491,CIN00086,2025-07-05
DIR00302,PER00001,CIN00087,2025-06-08
DIR00303,PER00473,CIN00087,2025-04-26
DIR00304,PER00065,CIN00087,2024-10-18
DIR00305,PER00299,CIN00087,2021-08-02
DIR00306,PER00656,CIN00088,2025-01-05
DIR00307,PER00290,CIN00088,2023-06-08
DIR00308,PER00312,CIN00088,2022-06-24
DIR00309,PER00494,CIN00088,2025-01-13
DIR00310,PER00052,CIN00088,2024-03-10
DIR00311,PER00202,CIN00089,2025-06-15
DIR00312,PER00436,CIN00089,2025-02-18
DIR00313,PER00721,CIN00090,2022-07-16
DIR00314,PER00750,CIN00090,2024-08-08
DIR00315,PER00359,CIN00090,2025-08-21
DIR00316,PER00152,CIN00091,2023-10-13
DIR00317,PER00693,CIN00091,2023-05-11
DIR00318,PER00626,CIN00091,2025-04-11
DIR00319,PER00018,CIN00091,2025-08-06
DIR00320,PER00829,CIN00092,2025-07-23
DIR00321,PER00381,CIN00092,2023-01-20
DIR00322,PER00490,CIN00092,2024-01-05
DIR00323,PER00192,CIN00092,2021-02-15
DIR00324,PER00377,CIN00093,2022-10-21
DIR00325,PER00917,CIN00093,2023-03-29
DIR00326,PER00380,CIN00093,2024-03-17
DIR00327,PER00019,CIN00093,2025-01-23
DIR00328,PER00282,CIN00093,2021-08-30
DIR00329,PER00220,CIN00094,2025-02-05
DIR00330,PER00204,CIN00094,2024-04-19
DIR00331,PER00799,CIN00094,2021-09-27
DIR00332,PER00602,CIN00095,2023-08-24
DIR00333,PER00051,CIN00095,2024-01-21
DIR00334,PER00830,CIN00095,2022-06-11
DIR00335,PER00060,CIN00095,2025-01-30
DIR00336,PER00928,CIN00096,2021-07-14
DIR00337,PER00545,CIN00096,2024-01-05
DIR00338,PER00557,CIN00096,2021-03-02
DIR00339,PER00125,CIN00097,2021-05-04
DIR00340,PER00060,CIN00097,2023-08-17
DIR00341,PER00539,CIN00098,2020-11-23
DIR00342,PER00480,CIN00098,2020-09-07
DIR00343,PER00696,CIN00098,2022-12-04
DIR00344,PER00917,CIN00099,2022-08-18
DIR00345,PER00719,CIN00099,2024-12-11
DIR00346,PER00148,CIN00100,2023-03-08
DIR00347,PER00706,CIN00100,2024-12-01
DIR00348,PER00503,CIN00100,2022-10-22
DIR00349,PER00698,CIN00101,2024-01-01
DIR00350,PER00245,CIN00101,2023-02-04
DIR00351,PER00265,CIN00102,2025-03-28
DIR00352,PER00255,CIN00102,2023-04-02
DIR00353,PER00662,CIN00103,2022-01-08
DIR00354,PER00587,CIN00103,2024-07-03
DIR00355,PER00103,CIN00104,2023-05-16
DIR00356,PER00434,CIN00104,2025-04-07
DIR00357,PER00873,CIN00104,2022-06-13
DIR00358,PER00174,CIN00105,2021-05-13
DIR00359,PER00490,CIN00105,2023-03-11
DIR00360,PER00908,CIN00105,2022-04-24
DIR00361,PER00804,CIN00105,2022-03-15
DIR00362,PER00093,CIN00106,2021-09-20
DIR00363,PER00747,CIN00106,2020-10-02
DIR00364,PER00095,CIN00106,2024-05-21
DIR00365,PER00307,CIN00106,2023-09-12
DIR00366,PER00299,CIN00106,2021-07-16
DIR00367,PER00321,CIN00107,2021-10-19
DIR00368,PER00130,CIN00107,2024-09-07
DIR00369,PER00818,CIN00108,2023-05-14
DIR00370,PER00804,CIN00108,2022-07-21
DIR00371,PER00881,CIN00108,2022-11-26
DIR00372,PER00073,CIN00108,2023-12-29
DIR00373,PER00063,CIN00109,2023-02-12
DIR00374,PER00490,CIN00109,2021-02-25
DIR00375,PER00220,CIN00109,2021-07-01
DIR00376,PER00420,CIN00109,2023-06-13
DIR00377,PER00258,CIN00109,2021-02-15
DIR00378,PER00538,CIN00110,2021-12-06
DIR00379,PER00665,CIN00110,2020-10-11
DIR00380,PER00100,CIN00111,2022-03-30
DIR00381,PER00428,CIN00111,2021-09-29
DIR00382,PER00718,CIN00111,2024-12-13
DIR00383,PER00539,CIN00111,2023-12-10
DIR00384,PER00209,CIN00111,2023-09-25
DIR00385,PER00909,CIN00112,2024-09-13
DIR00386,PER00423,CIN00112,2025-07-23
DIR00387,PER00006,CIN00113,2024-02-15
DIR00388,PER00535,CIN00113,2022-03-13
DIR00389,PER00813,CIN00113,2025-03-30
DIR00390,PER00413,CIN00113,2025-01-04
DIR00391,PER00716,CIN00114,2025-05-17
DIR00392,PER00267,CIN00114,2022-12-21
DIR00393,PER00444,CIN00114,2022-10-15
DIR00394,PER00828,CIN00115,2020-10-04
DIR00395,PER00277,CIN00115,2024-10-13
DIR00396,PER00057,CIN00116,2022-10-20
DIR00397,PER00845,CIN00116,2022-04-02
DIR00398,PER00784,CIN00116,2022-03-11
DIR00399,PER00331,CIN00116,2025-08-02
DIR00400,PER00966,CIN00117,2023-07-07
DIR00401,PER00355,CIN00117,2024-03-04
DIR00402,PER00103,CIN00117,2024-01-13
DIR00403,PER00678,CIN00118,2021-11-11
DIR00404,PER00364,CIN00118,2020-11-15
DIR00405,PER00956,CIN00118,2023-12-08
DIR00406,PER00404,CIN00119,2023-10-01
DIR00407,PER00241,CIN00119,2021-04-17
DIR00408,PER00017,CIN00119,2022-03-11
DIR00409,PER00953,CIN00119,2025-03-22
DIR00410,PER00019,CIN00120,2024-03-28
DIR00411,PER00448,CIN00120,2024-04-13
DIR00412,PER00319,CIN00120,2023-06-26
DIR00413,PER00913,CIN00121,2021-12-29
DIR00414,PER00584,CIN00121,2021-01-10
DIR00415,PER00170,CIN00121,2021-04-23
DIR00416,PER00250,CIN00121,2022-07-21
DIR00417,PER00494,CIN00121,2024-08-10
DIR00418,PER00012,CIN00122,2022-08-30
DIR00419,PER00545,CIN00122,2020-12-23
DIR00420,PER00640,CIN00122,2021-04-14
DIR00421,PER00174,CIN00122,2022-11-06
DIR00422,PER00567,CIN00123,2023-07-27
DIR00423,PER00118,CIN00123,2024-12-01
DIR00424,PER00436,CIN00123,2025-03-20
DIR00425,PER00726,CIN00124,2022-08-04
DIR00426,PER00096,CIN00124,2021-06-11
DIR00427,PER00454,CIN00124,2023-08-22
DIR00428,PER00227,CIN00124,2024-04-09
DIR00429,PER00327,CIN00125,2023-07-24
DIR00430,PER00236,CIN00125,2024-05-17
DIR00431,PER00132,CIN00125,2021-08-23
DIR00432,PER00242,CIN00125,2022-09-03
DIR00433,PER00459,CIN00125,2022-08-13
DIR00434,PER00911,CIN00126,2023-04-19
DIR00435,PER00640,CIN00126,2025-01-01
DIR00436,PER00503,CIN00126,2024-01-12
DIR00437,PER00513,CIN00126,2025-08-25
DIR00438,PER00380,CIN00127,2020-11-21
DIR00439,PER00644,CIN00127,2021-11-24
DIR00440,PER00643,CIN00128,2024-07-20
DIR00441,PER00183,CIN00128,2021-05-28
DIR00442,PER00430,CIN00129,2024-07-01
DIR00443,PER00958,CIN00129,2024-04-19
DIR00444,PER00508,CIN00130,2024-02-27
DIR00445,PER00587,CIN00130,2021-09-16
DIR00446,PER00809,CIN00131,2020-10-18
DIR00447,PER00107,CIN00131,2024-09-16
DIR00448,PER00377,CIN00131,2022-03-09
DIR00449,PER00669,CIN00132,2023-10-20
DIR00450,PER00225,CIN00132,2021-07-06
DIR00451,PER00261,CIN00132,2021-06-16
DIR00452,PER00125,CIN00133,2021-09-08
DIR00453,PER00454,CIN00133,2021-09-03
DIR00454,PER00427,CIN00133,2023-06-27
DIR00455,PER00029,CIN00134,2024-06-20
DIR00456,PER00111,CIN00134,2023-02-12
DIR00457,PER00691,CIN00134,2023-05-30
DIR00458,PER00004,CIN00135,2020-10-27
DIR00459,PER00075,CIN00135,2023-03-30
DIR00460,PER00678,CIN00135,2025-06-05
DIR00461,PER00636,CIN00136,2025-06-05
DIR00462,PER00787,CIN00136,2020-12-01
DIR00463,PER00095,CIN00137,2025-05-21
DIR00464,PER00799,CIN00137,2025-08-19
DIR00465,PER00312,CIN00137,2023-04-27
DIR00466,PER00019,CIN00138,2024-09-03
DIR00467,PER00216,CIN00138,2023-06-09
DIR00468,PER00776,CIN00138,2023-09-27
DIR00469,PER00974,CIN00138,2024-07-29
DIR00470,PER00988,CIN00139,2023-08-15
DIR00471,PER00207,CIN00139,2021-02-09
DIR00472,PER00061,CIN00139,2024-06-16
DIR00473,PER00656,CIN00139,2021-09-21
DIR00474,PER00974,CIN00140,2023-12-28
DIR00475,PER00190,CIN00140,2024-10-11
DIR00476,PER00691,CIN00141,2023-05-17
DIR00477,PER00665,CIN00141,2025-04-14
DIR00478,PER00861,CIN00141,2022-02-16
DIR00479,PER00648,CIN00141,2023-07-24
DIR00480,PER00584,CIN00141,2021-10-05
DIR00481,PER00881,CIN00142,2021-11-06
DIR00482,PER00207,CIN00142,2024-11-29
DIR00483,PER00487,CIN00142,2023-07-07
DIR00484,PER00263,CIN00142,2021-03-13
DIR00485,PER00635,CIN00143,2021-11-28
DIR00486,PER00024,CIN00143,2025-03-15
DIR00487,PER00322,CIN00143,2023-01-11
DIR00488,PER00223,CIN00143,2023-08-26
DIR00489,PER00688,CIN00143,2023-07-25
DIR00490,PER00227,CIN00144,2021-01-09
DIR00491,PER00828,CIN00144,2024-04-10
DIR00492,PER00311,CIN00144,2021-08-06
DIR00493,PER00909,CIN00144,2022-03-15
DIR00494,PER00724,CIN00145,2025-05-22
DIR00495,PER00412,CIN00145,2024-03-18
DIR00496,PER00691,CIN00145,2023-05-15
DIR00497,PER00535,CIN00146,2021-09-08
DIR00498,PER00521,CIN00146,2025-04-16
DIR00499,PER00812,CIN00146,2025-03-13
DIR00500,PER00166,CIN00146,2022-12-01
DIR00501,PER00959,CIN00147,2025-07-27
DIR00502,PER00006,CIN00147,2024-06-23
DIR00503,PER00298,CIN00147,2025-06-13
DIR00504,PER00060,CIN00147,2022-12-12
DIR00505,PER00741,CIN00148,2023-03-07
DIR00506,PER00180,CIN00148,2025-08-29
DIR00507,PER00263,CIN00148,2020-10-12
DIR00508,PER00150,CIN00148,2022-06-07
DIR00509,PER00976,CIN00148,2021-01-12
DIR00510,PER00290,CIN00149,2023-01-06
DIR00511,PER00090,CIN00149,2022-05-20
DIR00512,PER00514,CIN00149,2023-10-30
DIR00513,PER00810,CIN00149,2025-03-09
DIR00514,PER00960,CIN00149,2022-11-06
DIR00515,PER00474,CIN00150,2021-06-26
DIR00516,PER00900,CIN00150,2022-10-29
DIR00517,PER00695,CIN00150,2024-09-02
DIR00518,PER00451,CIN00150,2022-11-26
DIR00519,PER00719,CIN00151,2020-09-13
DIR00520,PER00741,CIN00151,2025-03-08
DIR00521,PER00052,CIN00151,2023-08-06
DIR00522,PER00745,CIN00151,2024-05-28
DIR00523,PER00242,CIN00152,2025-07-30
DIR00524,PER00438,CIN00152,2024-02-12
DIR00525,PER00023,CIN00153,2024-11-25
DIR00526,PER00321,CIN00153,2024-02-19
DIR00527,PER00290,CIN00153,2022-02-23
DIR00528,PER00448,CIN00153,2021-07-11
DIR00529,PER00565,CIN00154,2024-10-12
DIR00530,PER00004,CIN00154,2021-05-24
DIR00531,PER00315,CIN00154,2020-09-17
DIR00532,PER00522,CIN00155,2023-12-04
DIR00533,PER00972,CIN00155,2024-05-18
DIR00534,PER00246,CIN00156,2025-04-16
DIR00535,PER00775,CIN00156,2021-05-23
DIR00536,PER00656,CIN00156,2024-03-30
DIR00537,PER00719,CIN00156,2025-08-26
DIR00538,PER00974,CIN00156,2022-03-04
DIR00539,PER00026,CIN00157,2024-02-01
DIR00540,PER00494,CIN00157,2024-03-01
DIR00541,PER00938,CIN00157,2021-06-25
DIR00542,PER00672,CIN00158,2021-05-15
DIR00543,PER00486,CIN00158,2021-02-21
DIR00544,PER00223,CIN00159,2023-07-23
DIR00545,PER00157,CIN00159,2022-12-30
DIR00546,PER00968,CIN00159,2022-07-12
DIR00547,PER00850,CIN00160,2025-01-26
DIR00548,PER00111,CIN00160,2020-10-10
DIR00549,PER00367,CIN00160,2024-03-15
DIR00550,PER00789,CIN00160,2025-03-03
DIR00551,PER00663,CIN00160,2025-07-11
DIR00552,PER00858,CIN00161,2023-10-01
DIR00553,PER00944,CIN00161,2024-03-26
DIR00554,PER00835,CIN00161,2024-05-27
DIR00555,PER00137,CIN00161,2024-01-02
DIR00556,PER00682,CIN00162,2021-03-02
DIR00557,PER00036,CIN00162,2024-09-13
DIR00558,PER00357,CIN00162,2022-12-15
DIR00559,PER00001,CIN00162,2022-10-14
DIR00560,PER00299,CIN00163,2023-03-09
DIR00561,PER00687,CIN00163,2022-09-03
DIR00562,PER00968,CIN00163,2025-06-22
DIR00563,PER00811,CIN00163,2023-09-22
DIR00564,PER00266,CIN00164,2024-07-12
DIR00565,PER00418,CIN00164,2022-07-08
DIR00566,PER00057,CIN00164,2023-06-04
DIR00567,PER00099,CIN00164,2023-07-02
DIR00568,PER00006,CIN00164,2023-08-08
DIR00569,PER00830,CIN00165,2021-07-26
DIR00570,PER00418,CIN00165,2022-07-28
DIR00571,PER00943,CIN00165,2021-11-12
DIR00572,PER00334,CIN00165,2021-12-30
DIR00573,PER00347,CIN00166,2022-04-26
DIR00574,PER00230,CIN00166,2021-07-05
DIR00575,PER00655,CIN00166,2022-10-01
DIR00576,PER00131,CIN00166,2023-10-17
DIR00577,PER00172,CIN00167,2024-08-06
DIR00578,PER00111,CIN00167,2024-12-22
DIR00579,PER00688,CIN00167,2023-12-17
DIR00580,PER00036,CIN00167,2022-04-16
DIR00581,PER00016,CIN00168,2023-12-29
